Sample,Sandbox ID,Rows,Average TS,Min TS,Max TS,Median TS,Std TS,Average Time Between Commands,Min Time Between Commands,Max Time Between Commands,Median Time Between Commands,Std Time Between Commands,Average Command Length,Min Command Length,Max Command Length,Median Command Length,Std Command Length,Average Time Per Character
House of cards,399,87,1.6757977517490232,0.030928682640934332,8.06012948713166,1.0063742306089296,1.6780052524452556,21.775090758620692,1.771584,129.329789,12.4219,26.803560965812277,15.724137931034482,3,46,12.0,11.600611105767896,1.3848193684210528
House of cards,400,48,1.7509431704354927,0.06522584230478558,8.127029910425355,1.2771432788917698,1.761947145145288,17.194688916666667,1.891762,129.037419,8.020047,25.29459348060175,16.6875,1,142,12.0,20.892996128704052,1.030393343320849
House of cards,401,113,64.34872562984987,0.07328948502841026,3721.188558733685,1.3731988208799457,467.0463957547371,18.8812596460177,0.018005,124.819282,9.881123,23.29301155353591,19.911504424778762,1,89,13.0,17.180531715809227,0.9482588177777778
House of cards,93,78,12.500997812999746,0.03439653402178378,887.3901854645488,0.7601431067405525,100.3584289496501,32.30504591025642,0.022538,129.696507,23.151683499999997,30.82788848060619,15.653846153846153,3,44,16.5,9.913688454920237,2.063713006552007
House of cards,95,22,1.2840626799611123,0.10924780482923367,7.376062178565041,0.7435713706496393,1.6319830385719727,25.556352363636357,2.080532,116.955039,15.560464499999998,26.99297669770626,14.045454545454545,2,44,14.0,10.426510500264275,1.8195461229773457
Junior hacker,1,14,0.9320530995269037,0.08163265306122448,2.4285714285714284,0.7636363636363637,0.7280341783157767,25.357142857142858,2.0,89.0,15.0,26.52025972392005,11.785714285714286,2,17,13.5,5.146747612717277,2.1515151515151514
Junior hacker,10,103,3.8247756360938503,0.03773584905660377,64.0,1.8888888888888888,7.474045654393125,21.398058252427184,1.0,108.0,15.0,21.446394553162232,31.514563106796118,2,80,29.0,24.074990716374693,0.6789895255699322
Junior hacker,11,118,2.4410434053964694,0.01818181818181818,19.0,1.5625,3.3991519508503103,20.305084745762713,1.0,122.0,6.0,30.213912139027833,14.508474576271187,2,81,9.0,15.145869518293102,1.3995327102803738
Junior hacker,12,206,1.5840924816005408,0.017241379310344827,35.5,1.0,3.0325789035204194,18.344660194174757,1.0,116.0,7.0,24.644450137239733,13.009708737864077,2,71,8.0,16.560602761288358,1.4100746268656716
Junior hacker,13,35,1.6126021768927103,0.07142857142857142,6.5,1.0,1.7468462679448842,32.82857142857143,3.0,103.0,21.0,27.47564238320458,30.8,2,77,25.0,23.760817969679312,1.0658627087198516
Junior hacker,14,58,1.0726524919368687,0.02127659574468085,6.25,0.7678571428571428,1.199380350640341,26.396551724137932,2.0,121.0,14.5,27.99056210311173,15.431034482758621,2,68,12.0,13.26796970013507,1.7106145251396647
Junior hacker,15,160,1.426177766386457,0.024096385542168676,6.625,1.1806526806526807,1.135216464705145,20.16875,1.0,127.0,8.0,27.692884873943875,15.05625,2,90,9.0,17.111269917107283,1.3395599833955998
Junior hacker,16,173,2.532019772930599,0.034482758620689655,29.5,1.325,4.047787750415195,22.179190751445088,1.0,120.0,11.0,27.411320557210416,23.13872832369942,2,73,14.0,21.843080768133525,0.9585311016737447
Junior hacker,17,11,0.5176478075086413,0.038834951456310676,1.5,0.17391304347826086,0.56055842739698,37.81818181818182,2.0,103.0,26.0,33.86685158622863,9.636363636363637,2,53,4.0,14.9216133663403,3.9245283018867925
Junior hacker,18,2,1.1677631578947367,0.21052631578947367,2.125,1.1677631578947367,1.353737324508456,42.0,8.0,76.0,42.0,48.08326112068523,16.5,16,17,16.5,0.7071067811865476,2.5454545454545454
Junior hacker,2,39,1.6959529498173826,0.016,11.0,0.6666666666666666,2.4826463361927997,42.717948717948715,1.0,125.0,27.0,41.23485286039413,23.564102564102566,2,73,17.0,22.46142291948912,1.8128400435255714
Junior hacker,3,77,1.8135019743943823,0.043859649122807015,6.0,1.3125,1.626307585116549,23.974025974025974,1.0,127.0,11.0,29.779440994529846,18.584415584415584,2,76,14.0,16.407917416000124,1.2900069881201957
Junior hacker,4,64,1.7522238074618293,0.02857142857142857,15.333333333333334,0.6172369462025317,2.5943081544485374,38.765625,3.0,128.0,27.0,33.843121824696816,26.4375,2,80,17.0,22.779742462694056,1.4663120567375887
Junior hacker,5,32,1.945777030901788,0.019801980198019802,11.666666666666666,0.7112293144208037,2.8892951006599414,42.3125,3.0,116.0,32.5,37.40746647912816,29.3125,2,85,32.0,20.946071307665466,1.443496801705757
Junior hacker,6,142,3.2785958952245005,0.023529411764705882,17.5,2.1375,3.213589668545455,15.56338028169014,1.0,95.0,9.0,18.857985417975403,25.908450704225352,2,73,19.0,20.560205634640123,0.6007067137809188
Junior hacker,7,127,2.4255885637998706,0.03937007874015748,33.0,1.1153846153846154,4.01004751884783,24.236220472440944,1.0,127.0,11.0,31.33800793217966,23.763779527559056,2,96,13.0,24.48597158883876,1.0198807157057654
Junior hacker,8,29,1.172000706545767,0.06201550387596899,5.5,0.5,1.2934023539809252,30.344827586206897,1.0,129.0,22.0,32.26815752638789,13.344827586206897,1,73,9.0,13.310242731684298,2.2739018087855296
Junior hacker,9,86,1.580919255663522,0.016666666666666666,8.375,1.4,1.3799448818841509,25.186046511627907,1.0,128.0,8.0,33.051657118875205,19.627906976744185,2,76,8.5,22.01071744915506,1.283175355450237
Junior hacker adaptive,104,142,1.351252357437073,0.015487428080255852,6.620209059233449,1.2119040841829738,1.1048588241008614,17.4431338028169,0.917,129.137,8.4375,21.443562584167744,12.288732394366198,2,50,5.0,13.128163103301482,1.4194412607449856
Junior hacker adaptive,105,80,1.3670109199360094,0.008923153799478887,11.408199643493761,0.8706556564753586,1.7779814332829627,28.342200000000002,1.078,120.915,14.131,34.330819618544105,20.8,1,84,10.0,23.184674117270887,1.3626057692307694
Junior hacker adaptive,106,96,1.5009048332144046,0.06054787174230825,9.532062391681109,1.1902753263808057,1.5343114458643659,20.442927083333334,1.418,115.611,12.3925,22.247123412983573,21.875,2,97,10.5,25.220396924961978,0.9345338095238096
