sample,sandbox_id,n_pairs,session_start,session_end,mean_ts,median_ts,std_ts,min_ts,max_ts,mean_dt,median_dt,std_dt,min_dt,max_dt,mean_len,median_len,std_len,min_len,max_len,mean_spc_pairs,median_spc_pairs,std_spc_pairs,session_duration_s,total_time_diff,total_cmd_len,avg_time_per_char,mean_spc,median_spc,std_spc,mean_cps,std_cps
Junior hacker adaptive,72,13,2020-12-04 09:20:00.369000+00:00,2020-12-04 09:22:05.540000+00:00,2.3233549909352016,1.53576129881527,1.8933266854277628,0.1592211809662451,5.065856129685917,9.628538461538461,4.308,14.338565360682503,0.409,43.964,7.6923076923076925,6.0,5.864932727443334,2,18,1.250552858579329,0.6511428571428571,1.6684483402515617,125.171,125.17099999999999,100,1.2517099999999999,1.250552858579329,0.6511428571428571,1.6684483402515617,2.3233549909352016,1.8933266854277628
Junior hacker adaptive,74,119,2021-05-28 08:35:15.217000+00:00,2021-05-28 09:19:17.469000+00:00,1.9573566428786933,1.8573551263001484,1.3853570723060402,0.08203781943475942,7.764609726195341,5.418605042016806,2.68,6.427584114274667,0.557,29.952,6.226890756302521,5.0,5.293803500784084,2,22,1.1733476789961836,0.5384,1.8224487904683009,2642.252,644.814,741,0.8701943319838056,1.1733476789961836,0.5384,1.8224487904683009,1.9573566428786933,1.3853570723060402
Junior hacker adaptive,76,79,2021-05-28 08:34:49.126000+00:00,2021-05-28 09:39:58.418000+00:00,792.154425533529,0.6298064173959163,6234.392872025444,0.014614007526213876,55000.0,32.87777215189873,17.397,34.186871475851575,0.001,136.855,15.860759493670885,12.0,15.181579743832268,2,63,4.277005663598903,1.5877894736842104,8.891623290419671,3909.292,2597.344,1253,2.0729002394253793,4.277005663598903,1.5877894736842104,8.891623290419671,792.154425533529,6234.392872025444
Junior hacker adaptive,77,37,2021-05-28 08:37:53.399000+00:00,2021-05-28 09:02:59.816000+00:00,5.22960447113521,1.2330456226880395,16.397390768963,0.06401365624666595,74.07407407407408,11.665810810810811,5.067,15.3940142783519,0.027,64.935,8.0,6.0,9.15605446321358,2,52,2.140425309894529,0.8109999999999999,3.42177413195341,1506.417,431.635,296,1.4582263513513514,2.140425309894529,0.8109999999999999,3.42177413195341,5.22960447113521,16.397390768963
Junior hacker adaptive,78,54,2021-05-28 08:37:44.271000+00:00,2021-05-28 09:24:44.656000+00:00,0.8297246455766285,0.7531548162252921,0.6158063678617234,0.04869165522412769,2.2638402963572752,40.280685185185185,20.093,44.84325293135033,1.624,179.763,16.925925925925927,12.0,15.069464128710251,2,70,2.905526317995686,1.3277888888888891,3.64474241837023,2820.385,2175.157,914,2.379821663019694,2.905526317995686,1.3277888888888891,3.64474241837023,0.8297246455766285,0.6158063678617234
Junior hacker adaptive,79,25,2021-05-28 08:44:47.542000+00:00,2021-05-28 09:27:40.371000+00:00,0.6944840972166131,0.29879155415873576,0.882765137085625,0.017334868046984427,3.63901018922853,84.24632,48.602,87.72106257940563,2.943,305.64,14.76,13.0,8.520954563114785,5,34,8.594237951381201,3.346814814814815,12.961271575052857,2572.829,2106.158,369,5.707745257452574,8.594237951381201,3.346814814814815,12.961271575052857,0.6944840972166131,0.882765137085625
Junior hacker adaptive,80,64,2021-05-28 08:35:19.706000+00:00,2021-05-28 09:36:04.267000+00:00,15.404005533703305,0.492539285233798,117.09442619211573,0.01984343529551836,937.5,42.88509375,19.962,48.25398362721811,0.016,169.572,16.609375,8.0,19.812307532488607,2,69,5.24991057645382,2.030333333333333,9.41465240336871,3644.561,2744.646,1063,2.5819811853245533,5.24991057645382,2.030333333333333,9.41465240336871,15.404005533703305,117.09442619211573
Junior hacker adaptive,81,34,2021-05-28 08:33:57.934000+00:00,2021-05-28 09:26:56.691000+00:00,0.5940812457217187,0.31444096721106163,0.5706708368529156,0.02832941443100371,2.1851410409217324,51.0815,28.2065,44.979990953048926,5.034,176.495,15.382352941176471,16.0,8.513855751094543,2,32,4.690621100263784,3.334815649867374,6.205615136252175,3178.757,1736.771,523,3.3207858508604207,4.690621100263784,3.334815649867374,6.205615136252175,0.5940812457217187,0.5706708368529156
Junior hacker adaptive,86,57,2021-05-28 08:35:14.430000+00:00,2021-05-28 09:34:49.277000+00:00,685.5423405145389,0.9182240466673869,5165.49679494187,0.013264094758692958,39000.0,46.2950350877193,29.189,48.090840024361675,0.001,158.302,26.70175438596491,19.0,22.480916440617477,2,73,4.708409972985603,1.0890588235294116,12.206798452902165,3574.847,2638.817,1522,1.7337825229960577,4.708409972985603,1.0890588235294116,12.206798452902165,685.5423405145389,5165.49679494187
Kobylka 3302,128,34,2020-05-06 14:20:12.098331+00:00,2020-05-06 15:37:03.137332+00:00,1.2236800978761426,0.6686552037976912,1.4589178319664209,0.05374509833034884,6.942217891227622,103.47192838235294,48.1450815,109.89246464647145,8.666037,353.520611,38.11764705882353,36.5,16.79423549349751,14,65,3.897923904313261,1.495742725093985,5.181140286917884,4611.039001,3518.045565,1296,2.7145413310185185,3.897923904313261,1.495742725093985,5.181140286917884,1.2236800978761426,1.4589178319664209
Kobylka 3302,129,14,2020-05-06 14:40:34.978581+00:00,2020-05-06 15:26:14.588086+00:00,0.7926934825198012,0.6500703661961325,0.690167086790683,0.02761549165897824,1.9062462697710643,65.75763571428571,21.3298655,80.69046499107468,3.88125,224.553991,14.0,12.5,9.478721108153454,3,40,7.49459602354134,1.5952927,11.763536909088538,2739.609505,920.6069,196,4.696973979591837,7.49459602354134,1.5952927,11.763536909088538,0.7926934825198012,0.690167086790683
Kobylka 3302,130,9,2020-05-06 14:26:28.378340+00:00,2020-05-06 15:05:35.286306+00:00,0.3475710334045153,0.24307701469825937,0.3804977622959428,0.03782417184080269,1.1360296365629579,260.7675517777777,115.18983,265.8757304889244,32.09743,736.871458,34.888888888888886,30.0,14.426056672254935,18,54,7.822009647761064,4.1139225,8.143093208357946,2346.907966,2346.9079659999998,314,7.474229191082801,7.822009647761064,4.1139225,8.143093208357946,0.3475710334045153,0.3804977622959428
Kobylka 3302,172,306,2020-05-06 17:04:37.462527+00:00,2020-05-07 12:31:01.169936+00:00,2.2205720876944786,1.7750383052429812,1.7871615095580842,0.06550155770891926,12.735852060342467,11.118347222222223,7.2987515,11.480347998754892,0.157037,54.755955,13.918300653594772,12.0,11.123591458644071,2,58,1.0646053211816289,0.5633785096153846,1.6633246855269779,69983.707409,3402.21425,4259,0.7988293613524301,1.0646053211816289,0.5633785096153846,1.6633246855269779,2.2205720876944786,1.7871615095580842
Kobylka 3302,181,41,2019-12-12 08:12:29+00:00,2019-12-12 09:14:23+00:00,0.9108002648738309,0.7222222222222222,0.8424008806355135,0.04142011834319527,3.625,43.31707317073171,18.0,51.36654505823331,4.0,186.0,15.268292682926829,13.0,8.51476479488395,5,44,3.281910114942465,1.3846153846153846,4.490114270806971,3714.0,1776.0,626,2.8370607028753994,3.281910114942465,1.3846153846153846,4.490114270806971,0.9108002648738309,0.8424008806355135
Kobylka 3302,183,51,2019-12-12 08:08:27+00:00,2019-12-12 09:13:25+00:00,1.3859050071493821,0.9361702127659575,1.331935552228546,0.02666666666666667,5.5,28.686274509803923,16.0,26.650696198094664,1.0,109.0,21.725490196078432,13.0,23.251734069847394,2,102,3.9811887655454155,1.0681818181818181,7.96268115157934,3898.0,1463.0,1108,1.3203971119133573,3.9811887655454155,1.0681818181818181,7.96268115157934,1.3859050071493821,1.331935552228546
Kobylka 3302,184,64,2019-12-12 08:10:39+00:00,2019-12-12 09:22:06+00:00,1.1961478350688275,0.86441647597254,1.1025927170895184,0.04878048780487805,5.833333333333333,23.953125,15.5,23.065420890870733,1.0,106.0,15.09375,12.0,12.983162172598785,2,53,2.7837432727286786,1.1605222734254994,4.196040977699861,4287.0,1533.0,966,1.5869565217391304,2.7837432727286786,1.1605222734254994,4.196040977699861,1.1961478350688275,1.1025927170895184
Kobylka 3302,185,75,2019-12-12 08:11:09+00:00,2019-12-12 09:28:13+00:00,1.126774386550974,0.6666666666666666,1.1493115543120895,0.02040816326530612,6.0,26.16,20.0,25.110049673280113,1.0,98.0,12.946666666666667,11.0,11.05868050060288,2,60,2.9455077257842923,1.5,5.9018503930456605,4624.0,1962.0,971,2.020597322348095,2.9455077257842923,1.5,5.9018503930456605,1.126774386550974,1.1493115543120895
Kobylka 3302,187,68,2019-12-12 08:17:36+00:00,2019-12-12 09:19:15+00:00,13.841814261164538,1.9,44.5147677137509,0.045454545454545456,310.0,13.558823529411764,9.0,14.759851102413204,0.1,60.0,15.941176470588236,12.5,14.267050394299027,2,57,1.725668724339338,0.5277777777777778,3.3343123342324077,3699.0,922.0,1084,0.8505535055350554,1.725668724339338,0.5277777777777778,3.3343123342324077,13.841814261164538,44.5147677137509
Kobylka 3302,188,50,2019-12-12 08:41:21+00:00,2019-12-12 09:56:51+00:00,0.92935336975661,0.8452380952380952,0.7791644231114618,0.07142857142857142,4.0,27.54,18.0,26.77282356481387,2.0,105.0,13.74,13.0,6.60491468220322,2,32,2.3280013644909157,1.1833333333333333,2.602549644249352,4530.0,1377.0,687,2.004366812227074,2.3280013644909157,1.1833333333333333,2.602549644249352,0.92935336975661,0.7791644231114618
Kobylka 3302,189,20,2019-12-12 08:24:45+00:00,2019-12-12 09:42:05+00:00,7.001628407782512,0.33805668016194335,18.497684866230518,0.11688311688311688,70.0,41.405,29.5,36.00756462920418,0.1,100.0,14.85,17.0,6.682853156832751,5,23,2.6717366667149274,2.982142857142857,2.2049317676439495,4640.0,828.1,297,2.788215488215488,2.6717366667149274,2.982142857142857,2.2049317676439495,7.001628407782512,18.497684866230518
