sample,sandbox_id,session_day,n_pairs,session_start,session_end,mean_ts,median_ts,std_ts,min_ts,max_ts,mean_dt,median_dt,std_dt,min_dt,max_dt,mean_len,median_len,std_len,min_len,max_len,mean_spc_pairs,median_spc_pairs,std_spc_pairs,session_duration_s,total_time_diff,total_cmd_len,avg_time_per_char,mean_spc,median_spc,std_spc,mean_cps,std_cps,prop_dt_lt_0p1,prop_ts_gt_20,prop_ts_gt_100,ts_q95,ts_q99,dt_q95,dt_q99,prop_dt_gt_30,active_time_s,ts_cv,dt_cv,len_q95,len_q99,breakiness_ratio
House of cards,398,2019-08-14,70,2019-08-14 15:39:54.785738+00:00,2019-08-14 16:45:17.778338+00:00,17.77564563529683,2.4589961605051833,61.77941649448284,0.21903436364420906,434.71173178286153,12.479979314285714,5.5319325,15.531776898223088,0.036806,65.095603,18.814285714285713,16.5,19.65521124772122,3,163,0.8283829582468353,0.406693494047619,0.956593731290726,3922.9926,873.598552,1317,0.6633246408504176,0.8283829582468353,0.406693494047619,0.956593731290726,17.77564563529683,61.77941649448284,0.02857142857142857,0.12857142857142856,0.02857142857142857,58.22646454921893,324.53940019650673,47.781812349999996,59.507306110000016,0.11428571428571428,873.598552,3.4755090060868667,1.2445354681352725,37.19999999999999,81.58000000000027,4.490612525648967
House of cards,399,2019-08-14,80,2019-08-14 15:39:14.370508+00:00,2019-08-14 16:13:49.185955+00:00,1.8062314280160545,1.222250656229271,1.688280485882122,0.12312375101727921,8.06012948713166,15.012434637499998,10.9231675,13.091294833457548,1.771584,55.279469,15.6125,12.0,11.847655058269835,3,46,1.2638236364827116,0.8183163045454546,1.251501037435398,2074.815447,1200.994771,1249,0.961565068855084,1.2638236364827116,0.8183163045454546,1.251501037435398,1.8062314280160545,1.688280485882122,0.0,0.0,0.0,5.0157491935608025,6.816094097511772,41.15363119999999,52.421510489999974,0.125,1200.9947710000001,0.9346977688991447,0.8720300970208,44.05,46.0,1.727580749808277
House of cards,400,2019-08-14,46,2019-08-14 15:43:54.065373+00:00,2019-08-14 16:51:36.837789+00:00,1.8011950292059873,1.313267446622629,1.7802058009560962,0.06522584230478558,8.127029910425355,12.475529760869565,7.571936,11.018141564774709,1.891762,45.99404,14.08695652173913,12.0,9.966223149455079,1,44,1.472346590282452,0.761986625,2.560483826877686,4062.772416,573.874369,648,0.8856085941358025,1.472346590282452,0.761986625,2.560483826877686,1.8011950292059873,1.7802058009560962,0.0,0.0,0.0,6.059015866021227,8.011388199701939,37.037994,42.47515969999998,0.08695652173913043,573.8743689999999,0.9883470540893379,0.883180255746248,32.0,44.0,7.079550221208783
House of cards,401,2019-08-14,106,2019-08-14 15:40:51.169179+00:00,2019-08-14 17:17:15.753954+00:00,68.58414843634772,1.4964824923416313,482.0603159537034,0.1240334743194273,3721.188558733685,14.068221160377357,9.008244000000001,13.124124747938499,0.018005,52.943699,20.09433962264151,13.0,17.56811413674368,1,89,1.2299221186691807,0.6687267152777778,1.5486602593162444,5784.584775,1491.231443,2130,0.7001086586854459,1.2299221186691807,0.6687267152777778,1.5486602593162444,68.58414843634772,482.0603159537034,0.018867924528301886,0.018867924528301886,0.018867924528301886,7.178878317567738,3158.5783813332605,43.004668,51.53204715000002,0.1320754716981132,1491.2314429999997,7.028742456445298,0.9328915573848189,48.0,67.0,3.8790657225968923
House of cards,93,2019-12-08,81,2019-12-08 14:31:41.334748+00:00,2019-12-08 21:25:22.513436+00:00,12.040846788669004,0.6941364214074449,98.48703174224086,0.022204173436487857,887.3901854645488,37.49974486419753,24.395785,40.41044404611559,0.022538,185.295765,15.530864197530864,16.0,9.927344080559875,3,44,4.171907689063865,1.4406389999999998,7.077883865001204,24821.178688,3037.479334,1258,2.4145304721780607,4.171907689063865,1.4406389999999998,7.077883865001204,12.040846788669004,98.48703174224086,0.012345679012345678,0.012345679012345678,0.012345679012345678,4.09344396937753,185.64979519048615,125.20783,181.1762042,0.41975308641975306,3037.479334,8.179410756635633,1.0776191729426143,34.0,40.000000000000014,8.171637057794712
House of cards,95,2019-09-19,22,2019-09-19 10:34:07.411279+00:00,2019-09-19 11:32:33.299244+00:00,1.0576194419335558,0.3767152364104006,1.6776576286141955,0.022061139259623424,7.376062178565041,89.08241990909092,28.499672,132.72986444670528,2.090462,395.156313,15.636363636363637,14.5,11.273844379783103,2,44,6.677920720552371,2.6806678496240606,10.656726362669986,3505.887965,1959.8132380000002,344,5.697131505813954,6.677920720552371,2.6806678496240606,10.656726362669986,1.0576194419335558,1.6776576286141955,0.0,0.0,0.0,3.6077053684715383,6.600346303705062,361.03367375,388.32549285,0.5,1959.8132379999997,1.586258310027921,1.4899669831843005,36.0,42.31999999999999,1.7888888068629325
House of cards,95,2019-09-20,6,2019-09-20 16:23:09.161206+00:00,2019-09-20 16:31:51.254157+00:00,0.6039082008842118,0.18917549092238914,0.7319378602710672,0.04078231431826856,1.603592046183451,87.01549183333333,77.8088965,75.19322700559988,12.472,171.64303,15.0,16.5,5.585696017507576,7,20,7.752661144924812,6.110103378571429,8.922710976975036,522.092951,522.092951,90,5.801032788888889,7.752661144924812,6.110103378571429,8.922710976975036,0.6039082008842118,0.7319378602710672,0.0,0.0,0.0,1.573384513940378,1.5975505397348364,171.11882325,171.53818865000002,0.6666666666666666,522.092951,1.2120018559102208,0.8641360914171762,20.0,20.0,1.0
Junior hacker,1,2021-02-08,13,2021-02-08 13:02:45+00:00,2021-02-08 13:08:40+00:00,0.9890563198016614,0.8,0.7245144423565705,0.08163265306122448,2.4285714285714284,20.46153846153846,15.0,19.960859135716014,2.0,70.0,11.384615384615385,13.0,5.124100921762788,2,17,2.310259725191852,1.25,3.249982111245794,355.0,266.0,148,1.7972972972972974,2.310259725191852,1.25,3.249982111245794,0.9890563198016614,0.7245144423565705,0.0,0.0,0.0,2.4114285714285715,2.425142857142857,57.39999999999997,67.47999999999998,0.23076923076923078,266.0,0.732531027658627,0.9755307096402563,16.4,16.88,1.3345864661654134
Junior hacker,10,2021-02-11,100,2021-02-11 10:54:37+00:00,2021-02-11 12:33:16+00:00,3.929579185907678,1.9782608695652173,7.561292637148087,0.03773584905660377,64.0,19.36,15.0,18.013193817731253,1.0,72.0,31.59,25.5,24.433002602251246,2,80,1.453987000274598,0.5055555555555555,3.296062603200903,5919.0,1936.0,3159,0.6128521684077239,1.453987000274598,0.5055555555555555,3.296062603200903,3.929579185907678,7.561292637148087,0.0,0.02,0.0,12.037499999999998,31.33000000000017,60.05,70.02000000000001,0.2,1936.0,1.924199075632455,0.9304335649654573,70.0,70.10000000000005,3.0573347107438016
Junior hacker,11,2021-02-11,110,2021-02-11 14:05:35+00:00,2021-02-11 16:06:16+00:00,2.5830308418228465,1.8285714285714287,3.4729057470469855,0.05405405405405406,19.0,13.863636363636363,5.0,18.890547742058615,1.0,91.0,13.436363636363636,9.0,13.792384065678396,2,51,1.8256466733204195,0.5470085470085471,3.131650424177187,7241.0,1525.0,1478,1.0317997293640053,1.8256466733204195,0.5470085470085471,3.131650424177187,2.5830308418228465,3.4729057470469855,0.0,0.0,0.0,10.919999999999993,18.48999999999998,61.099999999999994,77.27999999999997,0.15454545454545454,1525.0,1.3445080448966509,1.3625968863124247,47.099999999999994,49.0,4.7481967213114755
Junior hacker,12,2021-02-11,124,2021-02-11 14:21:34+00:00,2021-02-11 20:51:08+00:00,1.3762002430629923,1.1222222222222222,1.027055160102776,0.045454545454545456,5.0,10.25,6.0,12.124439472417897,1.0,51.0,7.959677419354839,6.5,6.316064424449367,2,30,1.7340995586146049,0.8911764705882352,2.741069042385372,23374.0,1271.0,987,1.28774062816616,1.7340995586146049,0.8911764705882352,2.741069042385372,1.3762002430629923,1.027055160102776,0.0,0.0,0.0,3.4142857142857137,4.884999999999998,43.849999999999994,50.769999999999996,0.08870967741935484,1271.0,0.7462977610125046,1.1828721436505265,18.0,26.769999999999996,18.390243902439025
Junior hacker,12,2021-02-12,72,2021-02-12 11:10:58+00:00,2021-02-12 15:01:17+00:00,2.138295097401159,1.0714285714285714,4.904768026366289,0.02,35.5,24.47222222222222,10.0,29.4293004430897,1.0,133.0,21.90277777777778,12.0,24.328826999286033,2,71,3.271274614230295,0.9375,8.082034946271701,13819.0,1762.0,1577,1.1173113506658212,3.271274614230295,0.9375,8.082034946271701,2.138295097401159,4.904768026366289,0.0,0.027777777777777776,0.0,4.723333333333335,26.861666666666743,90.10000000000005,118.80000000000013,0.2916666666666667,1762.0,2.2937750885401393,1.2025593824645058,70.45,71.0,7.842792281498298
Junior hacker,13,2021-02-11,21,2021-02-11 17:37:29+00:00,2021-02-11 18:06:16+00:00,1.2007736831179205,1.0,1.2255043166008353,0.07766990291262135,5.833333333333333,40.714285714285715,20.0,39.464088558007845,6.0,155.0,23.38095238095238,19.0,11.94770350517701,8,50,2.421733151506193,1.0,3.3319486348744976,1727.0,855.0,491,1.7413441955193483,2.421733151506193,1.0,3.3319486348744976,1.2007736831179205,1.2255043166008353,0.0,0.0,0.0,1.9375,5.054166666666669,103.0,144.60000000000002,0.42857142857142855,855.0,1.020595582523677,0.96929340317914,45.0,49.0,2.0198830409356727
Junior hacker,13,2021-02-12,19,2021-02-12 09:25:23+00:00,2021-02-12 11:22:09+00:00,1.6920758185584661,0.9130434782608695,2.1127242962243225,0.033112582781456956,6.5,58.89473684210526,28.0,62.53967161982696,3.0,211.0,38.78947368421053,38.0,30.40573583930875,2,77,4.85977600115043,1.0952380952380953,7.561522946592293,7006.0,1119.0,737,1.5183175033921303,4.85977600115043,1.0952380952380953,7.561522946592293,1.6920758185584661,2.1127242962243225,0.0,0.0,0.0,5.98076923076923,6.3961538461538465,165.9999999999999,202.0,0.47368421052631576,1119.0,1.2485990716563873,1.0618889729908063,77.0,77.0,6.2609472743521
Junior hacker,14,2021-02-11,66,2021-02-11 18:15:58+00:00,2021-02-11 21:20:46+00:00,0.9590764341165572,0.515625,1.1653958346869346,0.01,6.25,44.24242424242424,16.0,55.83548929490872,2.0,214.0,16.37878787878788,13.5,14.810355162744074,2,70,6.534229829038241,1.9411764705882353,17.20128128119345,11088.0,2920.0,1081,2.7012025901942645,6.534229829038241,1.9411764705882353,17.20128128119345,0.9590764341165572,1.1653958346869346,0.0,0.0,0.0,3.5625,5.076388888888879,175.0,204.89999999999992,0.4090909090909091,2920.0,1.2151230008695044,1.2620350320082105,40.75,68.69999999999999,3.797260273972603
Junior hacker,15,2021-02-11,153,2021-02-11 19:03:29+00:00,2021-02-11 21:13:14+00:00,1.4767651155772987,1.3571428571428572,1.134663099421661,0.024096385542168676,6.625,16.15032679738562,8.0,20.63523151064131,1.0,91.0,14.163398692810457,8.0,16.349576493927533,2,90,2.5544515581966487,0.7368421052631579,5.868788970306373,7785.0,2471.0,2167,1.140286109829257,2.5544515581966487,0.7368421052631579,5.868788970306373,1.4767651155772987,1.134663099421661,0.0,0.0,0.0,3.2533333333333343,5.159999999999986,67.80000000000004,86.35999999999993,0.16993464052287582,2471.0,0.7683436502209744,1.2776974589753625,51.400000000000006,67.91999999999996,3.150546337515176
Junior hacker,16,2021-02-11,161,2021-02-11 19:17:54+00:00,2021-02-11 21:12:09+00:00,2.6981514671099376,1.5,4.148295036444487,0.034482758620689655,29.5,16.509316770186334,10.0,18.191041068484225,1.0,83.0,22.70807453416149,14.0,21.719702965151484,2,73,1.8527299448393213,0.6666666666666666,3.92012420755799,6855.0,2658.0,3656,0.7270240700218819,1.8527299448393213,0.6666666666666666,3.92012420755799,2.6981514671099376,4.148295036444487,0.0,0.012422360248447204,0.0,8.75,23.200000000000053,58.0,78.00000000000003,0.17391304347826086,2658.0,1.537458177204498,1.1018651663002106,62.0,70.0,2.5790067720090293
Junior hacker,17,2021-02-12,11,2021-02-12 15:49:05+00:00,2021-02-12 16:06:04+00:00,0.5176478075086414,0.17391304347826086,0.56055842739698,0.038834951456310676,1.5,37.81818181818182,26.0,33.86685158622863,2.0,103.0,9.636363636363637,4.0,14.9216133663403,2,53,8.30048122736802,5.75,9.176544654697034,1019.0,416.0,106,3.9245283018867925,8.30048122736802,5.75,9.176544654697034,0.5176478075086414,0.56055842739698,0.0,0.0,0.0,1.4294871794871795,1.485897435897436,100.0,102.4,0.36363636363636365,416.0,1.0828953957998217,0.8955177102127762,34.5,49.30000000000001,2.449519230769231
